Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean
1897.71,-0.19,-0.09
1897.79,-0.28,-0.14
1897.88,-0.05,-0.20
1897.96,-0.28,-0.20
1898.04,-0.17,-0.04
1898.13,-0.48,-0.30
1898.21,-0.86,-0.52
1898.29,-0.62,-0.34
1898.38,-0.68,-0.33
1898.46,-0.36,-0.22
1898.54,-0.40,-0.25
1898.63,-0.28,-0.26
1898.71,-0.07,-0.23
1898.79,-0.45,-0.35
1898.88,-0.54,-0.40
1898.96,-0.25,-0.26
1899.04,-0.46,-0.20
1899.13,-0.65,-0.41
1899.21,-0.41,-0.35
1899.29,-0.29,-0.22
1899.38,-0.45,-0.24
1899.46,-0.58,-0.34
1899.54,-0.35,-0.19
1899.63,-0.33,-0.08
1899.71,-0.06,-0.04
1899.79,-0.31,-0.06
1899.88,-0.06,0.11
1899.96,-0.26,-0.29
1900.04,-0.58,-0.38
1900.13,-0.08,-0.04
1900.21,-0.21,0.01
1900.29,-0.19,-0.13
1900.38,-0.20,-0.11
1900.46,-0.15,-0.14
1900.54,-0.39,-0.14
1900.63,-0.19,-0.11
1900.71,-0.11,-0.06
1900.79,0.11,0.07
1900.88,-0.16,-0.11
1900.96,-0.10,-0.08
1901.04,-0.25,-0.24
1901.13,-0.15,-0.05
1901.21,-0.14,0.08
1901.29,-0.11,-0.05
1901.38,-0.23,-0.18
1901.46,-0.02,-0.14
1901.54,-0.29,-0.16
1901.63,-0.25,-0.21
1901.71,-0.01,-0.23
1901.79,-0.22,-0.32
1901.88,-0.16,-0.18
1901.96,-0.25,-0.29
1902.04,-0.32,-0.20
1902.13,-0.07,-0.05
1902.21,-0.21,-0.30
1902.29,-0.23,-0.31
1902.38,-0.36,-0.37
1902.46,-0.39,-0.37
1902.54,-0.47,-0.30
1902.63,-0.55,-0.34
1902.71,-0.43,-0.30
1902.79,-0.50,-0.32
1902.88,-0.52,-0.40
1902.96,-0.59,-0.47
1903.04,-0.37,-0.26
1903.13,-0.17,-0.05
1903.21,-0.19,-0.24
1903.29,-0.57,-0.43
1903.38,-0.46,-0.45
1903.46,-0.67,-0.47
1903.54,-0.35,-0.39
1903.63,-0.46,-0.49
1903.71,-0.46,-0.50
1903.79,-0.52,-0.50
1903.88,-0.48,-0.46
1903.96,-0.64,-0.54
1904.04,-0.82,-0.69
1904.13,-0.78,-0.60
1904.21,-0.59,-0.52
1904.29,-0.45,-0.55
1904.38,-0.66,-0.56
1904.46,-0.51,-0.52
1904.54,-0.64,-0.55
1904.63,-0.53,-0.52
1904.71,-0.48,-0.54
1904.79,-0.55,-0.41
1904.88,-0.28,-0.22
1904.96,-0.44,-0.36
1905.04,-0.44,-0.40
1905.13,-1.00,-0.60
1905.21,-0.27,-0.24
1905.29,-0.35,-0.37
1905.38,-0.38,-0.34
1905.46,-0.33,-0.32
1905.54,-0.46,-0.31
1905.63,-0.29,-0.23
1905.71,-0.24,-0.19
1905.79,-0.39,-0.27
1905.88,-0.10,-0.11
1905.96,-0.26,-0.19
1906.04,-0.17,-0.29
1906.13,-0.33,-0.31
1906.21,-0.35,-0.17
1906.29,0.03,-0.05
1906.38,-0.23,-0.25
1906.46,-0.26,-0.22
1906.54,-0.25,-0.26
1906.63,-0.19,-0.21
1906.71,-0.32,-0.27
1906.79,-0.20,-0.20
1906.88,-0.55,-0.39
1906.96,-0.26,-0.17
1907.04,-0.49,-0.42
1907.13,-0.68,-0.52
1907.21,-0.45,-0.27
1907.29,-0.61,-0.39
1907.38,-0.62,-0.48
1907.46,-0.70,-0.45
1907.54,-0.45,-0.38
1907.63,-0.57,-0.36
1907.71,-0.41,-0.34
1907.79,-0.35,-0.25
1907.88,-0.62,-0.50
1907.96,-0.68,-0.49
